B,C,Model,EventRecall,FA_per_Day,AvgAlerts_per_Day,n_alerts,n_events_hit
1,6,XGBoost,0.1619,2.27,2.89,530,113
1,6,Lag-LLaMA (Zero-Shot),0.2321,15.33,16.22,2975,162
1,6,Lag-LLaMA (Fine-Tuned),0.1533,3.34,3.92,720,107
3,6,XGBoost,0.3582,4.42,5.78,1061,250
3,6,Lag-LLaMA (Zero-Shot),0.6734,30.35,32.91,6038,470
3,6,Lag-LLaMA (Fine-Tuned),0.3968,6.13,7.64,1402,277
5,6,XGBoost,0.4054,4.8,6.34,1163,283
5,6,Lag-LLaMA (Zero-Shot),0.7479,31.28,34.12,6260,522
5,6,Lag-LLaMA (Fine-Tuned),0.467,6.59,8.37,1535,326
3,3,XGBoost,0.2736,5.17,6.65,1220,191
3,3,Lag-LLaMA (Zero-Shot),0.5201,36.0,38.59,7080,363
3,3,Lag-LLaMA (Fine-Tuned),0.3037,7.17,8.8,1615,212
3,12,XGBoost,0.2421,2.95,3.88,711,169
3,12,Lag-LLaMA (Zero-Shot),0.4083,20.47,22.02,4040,285
3,12,Lag-LLaMA (Fine-Tuned),0.2564,4.17,5.15,944,179
