Symbol,Events,XGB,FT_ctx18,FT_ctx24,FT_ctx48
AAVE,126,0.0435,0.0405,0.0391,0.0497
AVAX,138,0.1421,0.1175,0.0823,0.0798
CRO,282,0.2418,0.2175,0.2189,0.2024
DOT,198,0.0902,0.0889,0.0921,0.0849
ETC,192,0.1579,0.1674,0.1576,0.1501
HBAR,96,0.0816,0.0515,0.0415,0.0506
ICP,240,0.3316,0.3544,0.3383,0.3855
LINK,198,0.1026,0.09,0.0817,0.0924
NEAR,162,0.1524,0.1241,0.1432,0.1262
OKB,270,0.3132,0.3182,0.2935,0.2914
SHIB,42,0.0402,0.0208,0.0176,0.0345
TAO,60,0.0635,0.0766,0.0798,0.0571
TON,90,0.1001,0.1134,0.0836,0.0582
XLM,258,0.3078,0.2796,0.2963,0.2678
XMR,486,0.2815,0.2394,0.2461,0.2315
ZEC,918,0.454,0.4682,0.4706,0.4758
LTC,198,0.119,0.1051,0.1094,0.0975
UNI,234,0.1388,0.118,0.1338,0.1312
