Symbol,Events,XGB,LL_ZS,LL_FT,FT_vs_ZS
ZEC,918,0.454,0.3215,0.4682,0.1467
ICP,240,0.3316,0.1731,0.3544,0.1813
OKB,270,0.3132,0.1453,0.3182,0.17289999999999997
XLM,258,0.3078,0.1081,0.2796,0.1715
XMR,486,0.2815,0.1541,0.2394,0.08530000000000001
CRO,282,0.2418,0.1293,0.2175,0.0882
ETC,192,0.1579,0.0892,0.1674,0.07819999999999999
NEAR,162,0.1524,0.0644,0.1241,0.0597
AVAX,138,0.1421,0.0581,0.1175,0.059399999999999994
UNI,234,0.1388,0.0682,0.118,0.0498
LTC,198,0.119,0.0701,0.1051,0.035
LINK,198,0.1026,0.0551,0.09,0.034899999999999994
TON,90,0.1001,0.0506,0.1134,0.0628
DOT,198,0.0902,0.062,0.0889,0.026900000000000007
HBAR,96,0.0816,0.0332,0.0515,0.018299999999999997
TAO,60,0.0635,0.0295,0.0766,0.0471
AAVE,126,0.0435,0.0329,0.0405,0.007600000000000003
SHIB,42,0.0402,0.0144,0.0208,0.0063999999999999994
